date,avg_temp,rain_inches,rain_flag,bad_weather
2025-01-27,33.93125,0.0,0,1
2025-01-28,37.46,0.0,0,1
2025-01-29,42.856247,0.0,0,0
2025-01-30,38.55125,0.0,0,1
2025-02-03,40.44125,0.0,0,0
2025-02-04,45.77375,0.0,0,0
2025-02-05,34.4075,0.11417323,1,1
2025-02-06,38.11625,0.5748031,1,1
2025-02-13,38.1575,0.42519686,1,1
2025-02-17,32.10125,0.0,0,1
2025-02-18,25.55,0.0,0,1
2025-02-20,21.755,0.01968504,1,1
2025-02-24,40.8425,0.0,0,0
2025-02-25,46.295002,0.0,0,0
2025-02-26,48.725,0.0,0,0
2025-02-27,52.44875,0.01968504,1,1
2025-03-05,55.643745,1.7795277,1,1
2025-03-06,42.93125,0.031496067,1,1
2025-03-11,51.68,0.0,0,0
2025-03-24,51.5225,0.15354331,1,1
2025-03-25,52.973747,0.003937008,1,1
2025-03-27,44.269997,0.0,0,0
2025-03-31,69.972496,0.6259843,1,1
2025-04-03,66.5,0.003937008,1,1
2025-04-08,40.497498,0.003937008,1,1
2025-04-09,40.26125,0.0,0,0
2025-04-10,47.92625,0.07480315,1,1
2025-04-14,57.871254,0.094488196,1,1
2025-04-21,62.210003,0.007874016,1,1
2025-04-22,68.93375,0.0,0,0
2025-04-23,63.698746,0.0,0,0
2025-04-24,64.59125,0.0,0,0
2026-02-03,27.88625,0.0,0,1
2026-02-10,32.525,0.0,0,1
2026-02-17,38.431248,0.0,0,1
2026-02-19,39.74375,0.3385827,1,1
2026-03-03,34.7825,0.3346457,1,1
2026-04-02,56.011253,0.04330709,1,1
2026-04-09,46.7,0.0,0,0
